UniqueID,Org,AucID,AucZac,AucKon,AucNazov1,AucVal,Porovnávacia cena,VitaznaPonuka,PocetPozvanok,PocetAktivnychUcast,Vitaz,AucTypUpresnenie,Kateg,Subkateg,PocetItems,PocetZmienPonuk,PocetPredlzeni,Stat,MinKrokZnizPercenta,HistoryDealsInCategory,HistoryDealsWithVitaz,MoneySpentSoFarInCategory,MoneySpentSoFarWithVitaz
1072-6-761,6,761,2018-05-22 12:00:00,2018-05-24 09:15:00,Výběrové řízení,Jednotlivé položky,0.0,26145.52,9,2.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,7.0,0,,0.1,12,2,4219409.0,719204.0
1072-6-807,6,807,2018-09-27 07:00:00,2018-10-01 08:45:00,Výběrové řízení,Jednotlivé položky,0.0,48039.6,11,3.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,14.0,0,,0.1,13,3,5483609.0,1983404.0
1072-6-809,6,809,2018-10-01 12:30:00,2018-10-02 09:18:00,Výběrové řízení,Jednotlivé položky,0.0,44421.695999999996,0,2.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,96.0,82,,0.1,14,4,6652601.0,3152396.0
1072-6-861,6,861,2019-02-19 12:00:00,2019-02-20 09:53:00,Výběrové řízení,Jednotlivé položky,0.0,4697.7119999999995,10,4.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,23.0,12,,0.1,15,5,6776225.0,3276020.0
1072-6-876,6,876,2019-03-25 14:00:00,2019-03-26 10:24:00,Výběrové řízení,Jednotlivé položky,0.0,27426.576,9,2.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,37.0,29,,0.1,16,6,7497977.0,3997772.0
1072-6-982,6,982,2020-02-03 14:30:00,2020-02-04 13:20:00,Výběrové řízení,Jednotlivé položky,0.0,9215.0,13,2.0,458,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,7.0,1,,0.1,17,7,7740477.0,4240272.0
1072-6-700,6,700,2017-12-13 09:30:00,2017-12-13 12:20:00,Výběrové řízení,Jednotlivé položky,0.0,4170.88,9,5.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",6,53.0,29,,0.1,18,1,7850237.0,109760.0
1072-6-737,6,737,2018-03-21 09:00:00,2018-03-22 09:59:00,Výběrové řízení,Jednotlivé položky,0.0,4726.592,8,2.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,10.0,5,,0.1,19,2,7974621.0,234144.0
1072-6-745,6,745,2018-04-11 09:00:00,2018-04-12 10:37:00,Výběrové řízení,Jednotlivé položky,0.0,28528.0744,9,4.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,38.0,32,,0.1,20,3,8725359.8,984882.8
1072-6-750,6,750,2018-04-20 08:30:00,2018-04-20 13:30:00,Výběrové řízení,Jednotlivé položky,0.0,32072.0608,8,3.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",5,95.0,73,,0.1,21,4,9569361.4,1828884.4
1072-6-772,6,772,2018-06-22 10:00:00,2018-06-25 10:19:00,Výběrové řízení,Jednotlivé položky,0.0,5289.599999999999,12,5.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,158.0,122,,0.1,22,5,9708561.4,1968084.4
1072-6-832,6,832,2018-11-19 07:30:00,2018-11-20 09:21:00,Výběrové řízení,Jednotlivé položky,0.0,4146.5599999999995,11,4.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,29.0,17,,0.1,23,6,9817681.4,2077204.4
1072-6-851,6,851,2019-01-18 13:00:00,2019-01-22 13:29:00,Výběrové řízení,Jednotlivé položky,0.0,4307.68,14,4.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,77.0,33,,0.1,24,7,9931041.4,2190564.4
1072-6-934,6,934,2019-10-03 08:00:00,2019-10-04 09:21:00,Výběrové řízení,Jednotlivé položky,0.0,6259.74,9,6.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,40.0,2,,0.1,25,8,10095771.4,2355294.4
1072-6-951,6,951,2019-11-11 13:00:00,2019-11-12 09:50:00,Výběrové řízení,Jednotlivé položky,0.0,5975.424,11,5.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,75.0,49,,0.1,26,9,10253019.4,2512542.4
1072-6-987,6,987,2020-02-27 12:30:00,2020-02-28 11:30:00,Výběrové řízení,Jednotlivé položky,0.0,4755.168,12,4.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",5,74.0,35,,0.1,27,10,10378155.4,2637678.4
1072-6-1011,6,1011,2020-06-23 11:30:00,2020-06-24 10:16:00,Výběrové řízení,Jednotlivé položky,0.0,2844.072,15,3.0,459,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,9.0,0,,0.1,28,11,10452999.4,2712522.4
1072-6-822,6,822,2018-10-19 11:00:00,2018-10-22 09:15:00,Výběrové řízení,Jednotlivé položky,0.0,25095.2,15,2.0,3078,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,9.0,0,,0.1,29,1,11113399.4,660400.0
1072-6-786,6,786,2018-08-10 10:00:00,2018-08-13 09:27:00,Výběrové řízení,Jednotlivé položky,0.0,27945.96,11,4.0,3234,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,54.0,32,,0.1,30,1,11848819.4,735420.0
1072-6-819,6,819,2018-10-16 10:30:00,2018-10-17 09:58:00,Výběrové řízení,Jednotlivé položky,0.0,10724.36,13,4.0,3234,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,30.0,14,,0.1,31,2,12131039.4,1017640.0
1072-6-856,6,856,2019-01-31 13:00:00,2019-02-04 09:52:00,Výběrové řízení,Jednotlivé položky,0.0,4743.768,12,3.0,3234,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,50.0,34,,0.1,32,3,12255875.4,1142476.0
1072-6-898,6,898,2019-05-24 12:00:00,2019-05-27 13:46:00,Výběrové řízení,Jednotlivé položky,0.0,11084.539200000001,11,5.0,3234,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,70.0,46,,0.1,33,4,12547573.8,1434174.4
1072-6-1000,6,1000,2020-05-26 12:30:00,2020-05-27 10:59:00,Výběrové řízení,Jednotlivé položky,0.0,290.7285,14,4.0,3234,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",4,45.0,25,,0.1,34,5,12555224.55,1441825.15
1072-6-732,6,732,2018-03-07 12:00:00,2018-03-08 09:58:00,Výběrové řízení,Jednotlivé položky,0.0,35275.02,6,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,40.0,38,,0.1,35,1,13483514.55,928290.0
1072-6-766,6,766,2018-05-30 11:00:00,2018-06-04 09:16:00,Výběrové řízení,Jednotlivé položky,0.0,25543.98,8,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,7.0,1,,0.1,36,2,14155724.55,1600500.0
1072-6-789,6,789,2018-08-16 06:30:00,2018-08-17 08:50:00,Výběrové řízení,Jednotlivé položky,0.0,4777.056,10,3.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,11.0,6,,0.1,37,3,14281436.55,1726212.0
1072-6-833,6,833,2018-11-20 12:30:00,2018-11-20 13:23:00,Výběrové řízení,Jednotlivé položky,0.0,23320.6,2,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,44.0,25,,0.1,38,4,14895136.55,2339912.0
1072-6-838,6,838,2018-11-30 13:30:00,2018-12-03 09:15:00,Výběrové řízení,Jednotlivé položky,0.0,17054.399999999998,12,1.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,2.0,0,,0.1,39,5,15343936.55,2788712.0
1072-6-845,6,845,2019-01-04 12:00:00,2019-01-07 12:21:00,Výběrové řízení,Jednotlivé položky,0.0,4114.9439999999995,10,3.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,19.0,14,,0.1,40,6,15452224.55,2897000.0
1072-6-849,6,849,2019-01-11 12:30:00,2019-01-14 09:41:00,Výběrové řízení,Jednotlivé položky,0.0,29969.498,15,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,94.0,85,,0.1,41,7,16240895.55,3685671.0
1072-6-859,6,859,2019-02-14 06:30:00,2019-02-14 12:59:00,Výběrové řízení,Jednotlivé položky,0.0,3796.58,10,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,43.0,34,,0.1,42,8,16340805.55,3785581.0
1072-6-863,6,863,2019-02-21 12:30:00,2019-02-22 10:19:00,Výběrové řízení,Jednotlivé položky,0.0,25542.84,9,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,23.0,5,,0.1,43,9,17012985.55,4457761.0
1072-6-865,6,865,2019-02-27 09:30:00,2019-02-28 10:16:00,Výběrové řízení,Jednotlivé položky,0.0,1.6245,10,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,3.0,1,,0.1,44,10,17013028.3,4457803.75
1072-6-872,6,872,2019-03-12 13:30:00,2019-03-13 09:48:00,Výběrové řízení,Jednotlivé položky,0.0,30658.399999999998,11,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,32.0,6,,0.1,45,11,17819828.3,5264603.75
1072-6-877,6,877,2019-03-27 12:30:00,2019-03-28 08:45:00,Výběrové řízení,Jednotlivé položky,0.0,4923.812,13,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,14.0,0,,0.1,46,12,17949402.3,5394177.75
1072-6-888,6,888,2019-04-24 09:00:00,2019-04-25 09:18:00,Výběrové řízení,Jednotlivé položky,0.0,16948.0,13,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,30.0,8,,0.1,47,13,18395402.3,5840177.75
1072-6-891,6,891,2019-04-29 14:30:00,2019-04-30 11:22:00,Výběrové řízení,Jednotlivé položky,0.0,4452.688,9,3.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,21.0,18,,0.1,48,14,18512578.3,5957353.75
1072-6-892,6,892,2019-05-03 06:30:00,2019-05-06 10:40:00,Výběrové řízení,Jednotlivé položky,0.0,23872.93,9,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,39.0,37,,0.1,49,15,19140813.3,6585588.75
1072-6-897,6,897,2019-05-17 12:00:00,2019-05-20 13:33:00,Výběrové řízení,Jednotlivé položky,0.0,10078.55,9,4.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,35.0,27,,0.1,50,16,19406038.3,6850813.75
1072-6-902,6,902,2019-06-03 14:30:00,2019-06-04 13:22:00,Výběrové řízení,Jednotlivé položky,0.0,7307.552,12,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,22.0,10,,0.1,51,17,19598342.3,7043117.75
1072-6-944,6,944,2019-10-25 07:30:00,2019-10-25 10:20:00,Výběrové řízení,Jednotlivé položky,0.0,9952.199999999999,13,1.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,1.0,0,,0.1,52,18,19860242.3,7305017.75
1072-6-955,6,955,2019-11-21 08:00:00,2019-11-21 12:11:00,Výběrové řízení,Jednotlivé položky,0.0,37309.691999999995,12,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,48.0,32,,0.1,53,19,20842076.3,8286851.75
1072-6-998,6,998,2020-05-05 08:00:00,2020-05-05 13:24:00,Výběrové řízení,Jednotlivé položky,0.0,21339.28,12,4.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,23.0,11,,0.1,54,20,21403636.3,8848411.75
1072-6-1006,6,1006,2020-06-09 07:30:00,2020-06-09 10:16:00,Výběrové řízení,Jednotlivé položky,0.0,8476.28,12,3.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,9.0,0,,0.1,55,21,21626696.3,9071471.75
1072-6-1017,6,1017,2020-07-14 07:30:00,2020-07-15 09:53:00,Výběrové řízení,Jednotlivé položky,0.0,4976.784,15,2.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,35.0,5,,0.1,56,22,21757664.3,9202439.75
1072-6-1022,6,1022,2020-08-04 10:00:00,2020-08-05 12:09:00,Výběrové řízení,Jednotlivé položky,0.0,6542.84,15,3.0,3359,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,144.0,69,,0.1,57,23,21929844.3,9374619.75
1072-6-686,6,686,2017-10-24 12:03:00,2017-10-25 10:08:00,Výběrové řízení,Jednotlivé položky,0.0,11443.699999999999,9,2.0,3368,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,25.0,10,,0.1,58,1,22230994.3,301150.0
1072-6-691,6,691,2017-11-13 10:30:00,2017-11-14 10:20:00,Výběrové řízení,Jednotlivé položky,0.0,12640.32,5,3.0,3368,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",5,9.0,0,,0.1,59,2,22563634.3,633790.0
1072-6-742,6,742,2018-04-04 15:00:00,2018-04-05 10:33:00,Výběrové řízení,Jednotlivé položky,0.0,10670.97,6,3.0,3368,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,21.0,13,,0.1,60,3,22844449.3,914605.0
1072-6-755,6,755,2018-05-09 14:30:00,2018-05-11 10:44:00,Výběrové řízení,Jednotlivé položky,0.0,11004.42,8,3.0,3368,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",3,47.0,31,,0.1,61,4,23134039.3,1204195.0
1072-6-954,6,954,2019-11-20 08:00:00,2019-11-20 11:42:00,Výběrové řízení,Jednotlivé položky,0.0,3891.58,1,2.0,3383,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,146.0,133,,0.1,62,1,23236449.3,102410.0
1072-6-1007,6,1007,2020-06-09 08:00:00,2020-06-10 09:46:00,Výběrové řízení,Jednotlivé položky,0.0,1705.5919999999999,2,2.0,3383,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,53.0,46,,0.1,63,2,23281333.3,147294.0
1072-6-853,6,853,2019-01-28 15:00:00,2019-01-29 12:47:00,Výběrové řízení,Jednotlivé položky,0.0,11240.4,15,3.0,3393,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,9.0,1,,0.1,64,1,23577133.3,295800.0
1072-6-867,6,867,2019-02-28 13:00:00,2019-03-01 09:21:00,Výběrové řízení,Jednotlivé položky,0.0,10830.0,11,4.0,3393,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",2,17.0,8,,0.1,65,2,23862133.3,580800.0
1072-6-969,6,969,2020-01-17 07:30:00,2020-01-17 12:45:00,Výběrové řízení,Jednotlivé položky,0.0,11662.199999999999,10,3.0,3393,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",5,71.0,50,,0.1,66,3,24169033.3,887700.0
1072-6-981,6,981,2020-02-03 14:00:00,2020-02-04 11:17:00,Výběrové řízení,Jednotlivé položky,0.0,6236.65,4,2.0,3742,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,25.0,22,,0.1,67,1,24175269.95,6236.65
1072-6-979,6,979,2020-02-04 11:00:00,2020-02-06 09:47:00,Výběrové řízení,Jednotlivé položky,0.0,2884.39,12,7.0,3354,ERMMA,"Stroje, zařízení, nástroje, nářadí",Oleje a maziva,9,106.0,8,,0.1,1,1,75905.0,75905.0
1072-6-810,6,810,2018-10-03 10:00:00,2018-10-10 10:25:00,Výběrové řízení,Jednotlivé položky,0.0,2022.728448,3,5.0,3363,ERMMA,"Stroje, zařízení, nástroje, nářadí",Oleje a maziva,8,117.0,39,,0.1,2,1,129134.696,53229.696
1072-6-754,6,754,2018-05-04 10:30:00,2018-05-11 11:36:00,Výběrové řízení,Jednotlivé položky,0.0,152016.72,12,7.0,2943,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,11,607.0,503,,0.1,1,1,4000440.0,4000440.0
1072-6-762,6,762,2018-05-25 13:30:00,2018-05-29 10:57:00,Výběrové řízení,Jednotlivé položky,0.0,88919.67787969999,15,8.0,2943,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,9,412.0,317,,0.1,2,2,6340431.52315,6340431.52315
1072-6-916,6,916,2019-07-10 14:00:00,2019-07-15 11:45:00,Výběrové řízení,Jednotlivé položky,0.0,97520.38799999999,12,7.0,2944,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,14,777.0,659,,0.1,3,1,8906757.52315,2566326.0
1072-6-696,6,696,2017-12-01 12:00:00,2017-12-06 11:26:00,Výběrové řízení,Jednotlivé položky,0.0,121360.98,12,7.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,11,493.0,333,,0.1,4,1,12100467.52315,3193710.0
1072-6-701,6,701,2018-01-03 14:00:00,2018-01-08 11:32:00,Výběrové řízení,Jednotlivé položky,0.0,161171.3,15,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,14,312.0,155,,0.1,5,2,16341817.52315,7435060.0
1072-6-715,6,715,2018-02-05 11:30:00,2018-02-08 10:07:00,Výběrové řízení,Jednotlivé položky,0.0,85595.0,13,6.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,11,314.0,183,,0.1,6,3,18594317.52315,9687560.0
1072-6-736,6,736,2018-03-16 13:30:00,2018-03-21 11:19:00,Výběrové řízení,Jednotlivé položky,0.0,153078.63,14,6.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,18,595.0,426,,0.1,7,4,22622702.52315,13715945.0
1072-6-748,6,748,2018-04-11 10:00:00,2018-04-16 11:31:00,Výběrové řízení,Jednotlivé položky,0.0,68390.5,14,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,13,473.0,304,,0.1,8,5,24422452.52315,15515695.0
1072-6-788,6,788,2018-08-13 12:00:00,2018-08-16 12:24:00,Výběrové řízení,Jednotlivé položky,0.0,19738.834,13,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,9,207.0,148,,0.1,9,6,24941895.52315,16035138.0
1072-6-825,6,825,2018-11-02 11:00:00,2018-11-07 10:30:00,Výběrové řízení,Jednotlivé položky,0.0,132128.356,13,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,11,323.0,151,,0.1,10,7,28418957.52315,19512200.0
1072-6-844,6,844,2019-01-03 13:00:00,2019-01-09 10:46:00,Výběrové řízení,Jednotlivé položky,0.0,49513.4965,13,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,14,558.0,433,,0.1,11,8,29721944.27315,20815186.75
1072-6-854,6,854,2019-01-29 14:30:00,2019-02-01 10:00:00,Výběrové řízení,Jednotlivé položky,0.0,81675.3,11,7.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,8,286.0,237,,0.1,12,9,31871294.27315,22964536.75
1072-6-862,6,862,2019-02-21 12:00:00,2019-02-26 09:29:00,Výběrové řízení,Jednotlivé položky,0.0,65447.4912,9,9.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,7,136.0,28,,0.1,13,10,33593596.67315,24686839.15
1072-6-878,6,878,2019-03-29 12:00:00,2019-04-03 11:28:00,Výběrové řízení,Jednotlivé položky,0.0,28376.405,10,6.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,9,223.0,157,,0.1,14,11,34340344.17315,25433586.65
1072-6-886,6,886,2019-04-24 09:00:00,2019-04-29 10:44:00,Výběrové řízení,Jednotlivé položky,0.0,93271.83410000001,8,7.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,9,231.0,160,,0.1,15,12,36794866.12315,27888108.6
1072-6-923,6,923,2019-08-15 09:00:00,2019-08-19 12:48:00,Výběrové řízení,Jednotlivé položky,0.0,43972.2624,9,7.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,8,480.0,428,,0.1,16,13,37952030.92315,29045273.4
1072-6-997,6,997,2020-04-29 11:00:00,2020-05-04 10:09:00,Výběrové řízení,Jednotlivé položky,0.0,7995.0,14,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,4,90.0,48,,0.1,17,14,37960025.92315,29053268.4
1072-6-1005,6,1005,2020-06-05 10:00:00,2020-06-11 10:26:00,Výběrové řízení,Jednotlivé položky,0.0,56895.0,14,7.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,12,399.0,235,,0.1,18,15,38016920.92315,29110163.4
1072-6-1013,6,1013,2020-06-24 11:00:00,2020-06-30 11:16:00,Výběrové řízení,Jednotlivé položky,0.0,27741.48,12,8.0,2945,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,7,254.0,163,,0.1,19,16,38044662.40315,29137904.88
1072-6-682,6,682,2017-10-20 12:00:00,2017-10-24 11:24:00,Výběrové řízení,Jednotlivé položky,0.0,100374.48288,17,7.0,2946,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,10,346.0,243,,0.1,20,1,40686096.16315,2641433.76
1072-6-911,6,911,2019-06-14 14:00:00,2019-06-20 12:21:00,Výběrové řízení,Jednotlivé položky,0.0,44929.35608039999,10,7.0,2946,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,10,496.0,335,,0.1,21,2,41868447.63895,3823785.2358
1072-6-939,6,939,2019-10-14 13:00:00,2019-10-17 10:20:00,Výběrové řízení,Jednotlivé položky,0.0,16848.4049925,10,5.0,2946,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,6,45.0,0,,0.1,22,3,42311826.7177,4267164.314549999
1072-6-963,6,963,2019-12-03 14:30:00,2019-12-06 10:24:00,Výběrové řízení,Jednotlivé položky,0.0,22346.339644800002,15,9.0,2947,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,17,846.0,595,,0.1,23,1,42899888.2873,588061.5696
1072-6-900,6,900,2019-05-28 09:30:00,2019-05-31 10:06:00,Výběrové řízení,Jednotlivé položky,0.0,55290.3122688,7,7.0,2950,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,6,202.0,108,,0.1,24,1,44354896.5049,1455008.2176
1072-6-989,6,989,2020-03-19 11:00:00,2020-03-24 10:44:00,Výběrové řízení,Jednotlivé položky,0.0,39566.8,11,5.0,3232,ERMMA,"Hutní materiál, kovy a slitiny",Tyče a dráty,5,183.0,135,,0.1,25,1,44394463.3049,39566.8
