UniqueID,Org,AucID,AucZac,AucKon,AucNazov1,AucVal,Porovnávacia cena,VitaznaPonuka,Mena,PocetPozvanok,PocetAktivnychUcast,Vitaz,AucTypUpresnenie,Kateg,Subkateg,PocetItems,PocetZmienPonuk,PocetPredlzeni,Stat,MinKrokZnizPercenta,HistoryDealsInCategory,HistoryDealsWithVitaz,MoneySpentSoFarInCategory,MoneySpentSoFarWithVitaz,Relativna Uspora
100-45-1442,45,1442,2019-01-15 10:00:00,2019-01-24 10:00:00,Cenová poptávka,Jednotlivé položky,160678.875,122364.48,EUR,4,5.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,30.0,0,Česká republika,0.0,10,4,1501908.659,536756.23,0.2384532191926288
100-45-1451,45,1451,2019-05-17 10:00:00,2019-05-28 14:30:00,Cenová poptávka,Jednotlivé položky,152812.42200000002,121272.9,EUR,4,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,44.0,0,Česká republika,0.0,11,5,1623181.559,658029.13,0.2063937053494252
100-45-1457,45,1457,2019-08-09 09:00:00,2019-08-28 10:00:00,Cenová poptávka,Jednotlivé položky,142383.5,120878.0,EUR,5,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,36.0,0,Česká republika,0.0,12,6,1744059.559,778907.13,0.15103927070201253
100-45-1462,45,1462,2019-10-14 10:00:00,2019-10-20 18:00:00,Cenová poptávka,Jednotlivé položky,102714.076,83333.18,EUR,7,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,32.0,0,Česká republika,0.0,13,7,1827392.739,862240.3099999999,0.18868782892035174
100-45-1467,45,1467,2020-01-07 09:00:00,2020-01-17 08:00:00,Cenová poptávka,Jednotlivé položky,110026.625,104638.8,EUR,7,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,29.0,0,Česká republika,0.0,14,8,1932031.539,966879.11,0.04896837470021458
100-45-1472,45,1472,2020-02-12 08:20:00,2020-02-21 15:00:00,Cenová poptávka,Jednotlivé položky,209710.12,187561.92,EUR,5,6.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,38.0,0,Česká republika,0.0,15,9,2119593.459,1154441.03,0.10561340578127552
100-45-1477,45,1477,2020-04-14 17:00:00,2020-04-21 05:00:00,Cenová poptávka,Jednotlivé položky,197293.926,196018.0,EUR,8,4.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,20.0,0,Česká republika,0.0,16,10,2315611.459,1350459.03,0.006467132698246406
100-45-1481,45,1481,2020-06-09 09:00:00,2020-06-19 12:00:00,Cenová poptávka,Jednotlivé položky,87838.8,73968.32,EUR,5,4.0,5978,poptavka,"Hutní materiál, kovy a slitiny","Roury, armatury a trubky",5,21.0,0,Česká republika,0.0,17,11,2389579.779,1424427.35,0.1579083502962244
100-45-1424,45,1424,2018-10-22 10:00:00,2018-10-31 09:31:00,Doprava 2019 (S,Celková nabídka účastníka,243259.5973,281632.7329,EUR,16,7.0,3519,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,64,336.0,78,Česká republika,0.0,1,1,281632.7329,281632.7329,-0.15774561836783904
100-45-1425,45,1425,2018-10-22 10:00:00,2018-10-31 11:43:00,Doprava 2019 (S,Celková nabídka účastníka,989922.0032,1034785.92,EUR,16,12.0,4206,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,76,889.0,202,Česká republika,0.0,4,1,2768873.968,1034785.92,-0.04532065824880536
100-45-1426,45,1426,2018-10-22 10:00:00,2018-10-31 13:30:00,Doprava 2019 (S,Celková nabídka účastníka,564106.0225,527568.5634999999,EUR,12,11.0,6330,ERMMA,"Dopravní služby, auto-moto a příslušenství",Silniční přeprava,99,1225.0,39,Česká republika,0.0,6,1,3991267.4814,527568.5634999999,0.06477055295044298
100-45-1446,45,1446,2019-01-30 10:00:00,2019-02-15 10:00:00,Technické plyny,Celková nabídka účastníka,647470.449,0.0,CZK,4,2.0,0,poptavka,Chemie,Technické plyny,43,62.0,0,Česká republika,0.1,1,1,0.0,0.0,1.0
1104-50-1934,50,1934,2019-03-11 08:30:00,2019-03-13 10:16:00,Letecký petrole,Celková nabídka účastníka,15.13,13.95,CZK,3,2.0,7981,ERMMA,Chemie,Chemické látky,1,4.0,1,,0.01,1,1,13.95,13.95,0.07799074686054207
1104-50-1949,50,1949,2019-09-11 10:30:00,2019-09-17 10:15:00,Letecký petrole,Celková nabídka účastníka,12.9495,13.900799999999998,CZK,2,2.0,7981,ERMMA,Chemie,Chemické látky,1,3.0,0,,0.01,2,2,27.8508,27.8508,-0.07346229584153813
1104-50-1942,50,1942,2019-06-13 10:00:00,2019-06-18 11:15:00,Letecký petrole,Celková nabídka účastníka,13.2525,13.083,CZK,4,3.0,7982,ERMMA,Chemie,Chemické látky,1,4.0,0,,0.01,3,1,40.9338,13.083,0.012790039615166898
1104-50-1964,50,1964,2020-01-17 13:00:00,2020-01-21 10:22:00,Letecký petrole,Celková nabídka účastníka,14.9144,42084.05,CZK,1,3.0,7983,ERMMA,Chemie,Chemické látky,1,25.0,18,,0.01,4,1,42124.9838,42084.05,-2820.705868154267
1104-50-1980,50,1980,2020-06-12 08:00:00,2020-06-16 10:17:00,Letecký petrole,Celková nabídka účastníka,12.73,8.4,CZK,4,3.0,7983,ERMMA,Chemie,Chemické látky,1,23.0,5,,0.01,5,2,42133.3838,42092.45,0.3401413982717989
1104-50-1877,50,1877,2017-11-22 13:00:00,2017-11-27 09:50:00,Nákup PC,Celková nabídka účastníka,652680.0,655380.0,CZK,4,2.0,7836,ERMMA,"Počítače, IT a telekomunikační služby",Hardware a příslušenství,2,22.0,0,,0.0,1,1,655380.0,655380.0,-0.004136789851075565
1104-50-1951,50,1951,2019-10-22 12:00:00,2019-10-30 10:15:00,Nákup stolních ,Multikriteriální hodnocení,322363.8,312624.0,CZK,7,3.0,7836,ERMMA,"Počítače, IT a telekomunikační služby",Hardware a příslušenství,2,22.0,0,,0.5,2,2,968004.0,968004.0,0.03021369024685771
1104-50-1917,50,1917,2018-11-22 14:00:00,2018-12-05 10:27:00,Nákup PC - kons,Celková nabídka účastníka,372400.0,382200.0,CZK,30,5.0,7960,poptavka,"Počítače, IT a telekomunikační služby",Hardware a příslušenství,1,26.0,6,,0.0,5,2,2581124.75,975270.75,-0.02631578947368421
1104-50-1928,50,1928,2019-02-19 10:00:00,2019-03-07 10:49:00,Kancelářské pot,Multikriteriální hodnocení,418629.85,344586.6,CZK,6,6.0,7990,ERMMA,Kancelář,Kancelářské potřeby,30,484.0,151,,0.1,1,1,344586.6,344586.6,0.17687045011243227
1104-50-1893,50,1893,2018-05-22 08:30:00,2018-05-24 10:15:00,Tender 141J all,Multikriteriální hodnocení,13260.0,15141.0,EUR,2,4.0,5133,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,5.0,0,,0.1,1,1,15141.0,15141.0,-0.1418552036199095
1104-50-1911,50,1911,2018-11-02 13:00:00,2018-11-06 10:35:00,Tender 141I all,Multikriteriální hodnocení,325480.0,264600.0,EUR,3,2.0,5133,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,14.0,12,,0.1,2,2,279741.0,279741.0,0.18704682315349638
1104-50-1889,50,1889,2018-04-17 11:00:00,2018-04-18 10:52:00,Tender CoCrMo a,Celková nabídka účastníka,78470.0,78478.4,EUR,2,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,10.0,10,,0.0,3,1,358219.4,78478.4,-0.00010704727921491244
1104-50-1898,50,1898,2018-06-27 13:00:00,2018-07-02 10:30:00,Tender V36 allo,Celková nabídka účastníka,122790.0,178965.0,EUR,3,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,14.0,14,,0.0,4,2,537184.4,257443.4,-0.45748839482042514
1104-50-1915,50,1915,2018-11-14 12:30:00,2018-11-14 15:48:00,Tender V36 allo,Celková nabídka účastníka,357930.0,297432.0,EUR,2,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,53.0,53,,0.0,5,3,834616.4,554875.4,0.16902187578576816
1104-50-1916,50,1916,2018-11-15 09:30:00,2018-11-16 13:02:00,Tender MAR M 24,Celková nabídka účastníka,56467.2,56856.0,EUR,3,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,1.0,1,,0.0,6,4,891472.4,611731.4,-0.006885413124787539
1104-50-1918,50,1918,2018-11-16 13:15:00,2018-11-16 13:47:00,Tender MAR M 24,Celková nabídka účastníka,55360.0,51678.0,EUR,2,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,16.0,16,,0.0,7,5,943150.4,663409.4,0.06651011560693641
1104-50-1920,50,1920,2018-11-20 13:00:00,2018-11-22 10:19:00,Tender IN713LC ,Multikriteriální hodnocení,1971129.6,2109888.0,EUR,2,2.0,6078,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,9.0,6,,0.1,8,6,3053038.4,2773297.4,-0.07039537126325936
1104-50-1921,50,1921,2018-11-20 13:30:00,2018-11-22 13:21:00,Tender IN713LC ,Multikriteriální hodnocení,391650.0,427987.5,EUR,3,2.0,6078,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,9.0,6,,0.1,9,7,3481025.9,3201284.9,-0.09278054385292991
1104-50-1923,50,1923,2018-12-06 12:00:00,2018-12-07 10:07:00,Tender B1914 al,Celková nabídka účastníka,226304.0,242400.0,EUR,0,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,6.0,6,,0.0,10,8,3723425.9,3443684.9,-0.07112556561085973
1104-50-1956,50,1956,2019-11-27 12:00:00,2019-11-27 12:44:00,Tender EEQ 111 ,Celková nabídka účastníka,54530.0,57523.2,EUR,-1,1.0,6078,nipon,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,13.0,13,,0.0,11,9,3780949.1,3501208.1,-0.054890885750962716
1104-50-1963,50,1963,2020-01-17 11:30:00,2020-01-20 12:13:00,Tender CoCrMo,Multikriteriální hodnocení,83283.2,43544.2,EUR,4,2.0,6078,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,52.0,45,,0.1,12,10,3824493.3,3544752.3,0.4771550564819796
1104-50-1954,50,1954,2019-11-21 09:30:00,2019-11-27 10:15:00,Tender MAR M247,Multikriteriální hodnocení,74088.0,79165.8,EUR,1,2.0,7871,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,5.0,1,,0.1,13,1,3903659.1,79165.8,-0.06853741496598643
1104-50-1959,50,1959,2019-12-09 10:00:00,2019-12-10 11:15:00,Tender IN 713LC,Multikriteriální hodnocení,3437840.0,4150900.0,EUR,1,1.0,7871,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,1.0,0,,0.1,14,2,8054559.1,4230065.8,-0.20741512112256533
1104-50-1960,50,1960,2019-12-09 10:00:00,2019-12-10 13:15:00,Tender IN 713LC,Multikriteriální hodnocení,726800.0,814060.0,EUR,0,2.0,7871,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,3.0,0,,0.1,15,3,8868619.1,5044125.8,-0.12006053935057788
1104-50-1978,50,1978,2020-06-02 15:00:00,2020-06-03 10:15:00,Tender IN 738LC,Multikriteriální hodnocení,44352.0,48510.0,EUR,0,2.0,7871,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,2.0,0,,0.1,16,4,8917129.1,5092635.8,-0.09375
1104-50-1967,50,1967,2020-01-24 09:00:00,2020-01-27 11:15:00,Tender 141J,Multikriteriální hodnocení,12726.0,18637.5,EUR,3,1.0,7878,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,1.0,0,,0.1,17,1,8935766.6,18637.5,-0.4645214521452145
1104-50-1962,50,1962,2020-01-15 13:00:00,2020-01-16 11:44:00,Tender Co-Stell,Multikriteriální hodnocení,186000.0,118666.8,EUR,4,3.0,7972,ERMMA,"Hutní materiál, kovy a slitiny","Kovy, slitiny, nerez a odlitky",1,45.0,37,,0.1,18,1,9054433.4,118666.8,0.36200645161290324
